date,price,amt
2020.03.03,863,"153,148"
2020.03.02,854,"275,969"
2020.02.28,846,"548,722"
2020.02.27,876,"253,038"
2020.02.26,892,"230,545"
2020.02.25,876,"211,326"
2020.02.24,870,"743,271"
2020.02.21,912,"379,491"
2020.02.20,925,"173,120"
2020.02.19,929,"151,614"
2020.02.18,928,"121,488"
2020.02.17,929,"178,419"
2020.02.14,929,"485,424"
2020.02.13,943,"286,443"
2020.02.12,954,"328,176"
2020.02.11,949,"376,345"
2020.02.10,949,"1,029,057"
2020.02.07,930,"327,452"
2020.02.06,924,"191,700"
2020.02.05,920,"267,238"
2020.02.04,924,"175,681"
2020.02.03,924,"413,954"
2020.01.31,922,"432,916"
2020.01.30,924,"334,551"
2020.01.29,925,"206,225"
2020.01.28,922,"625,888"
2020.01.23,929,"147,064"
2020.01.22,928,"169,182"
2020.01.21,929,"220,545"
2020.01.20,928,"450,436"
2020.01.17,939,"400,383"
2020.01.16,950,"1,588,558"
2020.01.15,948,"549,391"
2020.01.14,932,"365,493"
2020.01.13,926,"318,084"
2020.01.10,926,"308,494"
2020.01.09,929,"418,341"
2020.01.08,916,"842,428"
2020.01.07,949,"326,365"
2020.01.06,950,"598,116"
2020.01.03,965,"501,957"
2020.01.02,951,"391,136"
